Date,Plot ,Order,Infraorder,Family ,Genus ,adult_juvenile
7/26/2023,501,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,501,Araneomorphae,na,Linyphiidae,na,adult
7/26/2023,501,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,501,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,501,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,501,Thysanoptera,na,na,na,adult
7/26/2023,501,Thysanoptera,na,na,na,adult
7/26/2023,501,Thysanoptera,na,na,na,adult
7/26/2023,501,Lepidoptera,na,na,na,juvenile
7/26/2023,501,Hemiptera,Sternorrhyncha,Aphidae,na,adult
7/26/2023,501,Hemiptera,Heteroptera,Lygaeidae,na,adult
7/26/2023,501,Coleoptera,na,Lampyridae,na,adult
7/26/2023,501,Coleoptera,na,Curculionidae,na,adult
7/26/2023,501,Coleoptera,na,Chrysomedlidae,na,adult
7/26/2023,501,Lepidoptera,na,na,na,juvenile
7/26/2023,501,Lepidoptera,na,na,na,juvenile
7/26/2023,501,Coleoptera,na,Chrysomedlidae,na,adult
7/26/2023,501,Orthoptera,Caelifera,na,na,juvenile
7/26/2023,501,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,501,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,501,Araneomorphae,na,Tetragnathidae,tetragnatha,adult
7/26/2023,402,Thysanoptera,na,na,na,adult
7/26/2023,402,Thysanoptera,na,na,na,adult
7/26/2023,402,Thysanoptera,na,na,na,adult
7/26/2023,402,Thysanoptera,na,na,na,adult
7/26/2023,402,Thysanoptera,na,na,na,adult
7/26/2023,402,Thysanoptera,na,na,na,adult
7/26/2023,402,Thysanoptera,na,na,na,adult
7/26/2023,402,Thysanoptera,na,na,na,adult
7/26/2023,402,Thysanoptera,na,na,na,adult
7/26/2023,402,Thysanoptera,na,na,na,adult
7/26/2023,402,Coleoptera,na,Chrysomedlidae,na,adult
7/26/2023,402,Hemiptera,Sternorrhyncha,Cocomorpha,na,adult
7/26/2023,402,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,402,Thysanoptera,na,na,na,adult
7/26/2023,402,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,402,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,402,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,402,Thysanoptera,na,na,na,adult
7/26/2023,402,Araneomorphae,na,Thomisidae,na,juvenile
7/26/2023,402,Araneomorphae,na,na,na,juvenile
7/26/2023,402,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,402,Orthoptera,Caelifera,na,na,juvenile
7/26/2023,104,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,104,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,104,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,104,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,104,Lepidoptera,na,na,na,juvenile
7/26/2023,104,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,104,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,104,Araneomorphae,na,Salticidae,na,adult
7/26/2023,104,Araneomorphae,na,Salticidae,na,adult
7/26/2023,104,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,104,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,104,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,104,Thysanoptera,na,na,na,adult
7/26/2023,104,Thysanoptera,na,na,na,adult
7/26/2023,104,Thysanoptera,na,na,na,adult
7/26/2023,104,Thysanoptera,na,na,na,adult
7/26/2023,104,Thysanoptera,na,na,na,adult
7/26/2023,104,Thysanoptera,na,na,na,adult
7/26/2023,104,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,104,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,103,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,103,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,103,Coleoptera,na,Cicindelidae,Cicindela,adult
7/26/2023,103,Thysanoptera,na,na,na,adult
7/26/2023,103,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,102,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,102,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,102,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,102,Thysanoptera,na,na,na,adult
7/26/2023,102,Thysanoptera,na,na,na,adult
7/26/2023,102,Orthoptera,Caelifera,na,na,juvenile
7/26/2023,102,Araneomorphae,na,Salticidae,na,adult
7/26/2023,102,Neuroptera,na,Hemerobiidae,na,adult
7/26/2023,101,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,101,Coleoptera,na,Chrysomedlidae,na,adult
7/26/2023,101,Coleoptera,na,Chrysomedlidae,na,adult
7/26/2023,101,Coleoptera,na,Scarabaeidae,na,adult
7/26/2023,101,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,101,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,101,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,101,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,101,Araneomorphae,na,Tetragnathidae,na,adult
7/26/2023,101,Hemiptera,Heteroptera,Lygaeidae,na,adult
7/26/2023,101,Thysanoptera,na,na,na,adult
7/26/2023,101,Thysanoptera,na,na,na,adult
7/26/2023,101,Thysanoptera,na,na,na,adult
7/26/2023,101,Thysanoptera,na,na,na,adult
7/26/2023,101,Thysanoptera,na,na,na,adult
7/26/2023,101,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,101,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,101,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,203,Araneomorphae,na,Araneidae,na,juvenile
7/26/2023,203,Coleoptera,na,Chrysomedlidae,na,adult
7/26/2023,203,Coleoptera,na,Coccinelidae,na,adult
7/26/2023,203,Coleoptera,na,Elateridae,na,adult
7/26/2023,203,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,203,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,203,Thysanoptera,na,na,na,adult
7/26/2023,203,Thysanoptera,na,na,na,adult
7/26/2023,203,Thysanoptera,na,na,na,adult
7/26/2023,203,Thysanoptera,na,na,na,adult
7/26/2023,203,Thysanoptera,na,na,na,adult
7/26/2023,203,Thysanoptera,na,na,na,adult
7/26/2023,203,Coleoptera,na,Elateridae,na,adult
7/26/2023,203,Thysanoptera,na,na,na,adult
7/26/2023,203,Coleoptera,na,Chrysomedlidae,na,adult
7/26/2023,203,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,203,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,203,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,203,Coleoptera,na,Chrysomedlidae,na,adult
7/26/2023,203,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,203,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,203,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,203,Coleoptera,na,Chrysomedlidae,na,adult
7/26/2023,203,Coleoptera,na,Coccinelidae,na,adult
7/26/2023,203,Neuroptera,na,Hemerobiidae,na,adult
7/26/2023,203,Thysanoptera,na,na,na,adult
7/26/2023,201,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,201,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,201,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,201,Thysanoptera,na,na,na,adult
7/26/2023,201,Thysanoptera,na,na,na,adult
7/26/2023,201,Araneomorphae,na,Linyphiidae,na,adult
7/26/2023,201,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,201,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,201,Thysanoptera,na,na,na,adult
7/26/2023,201,Coleoptera,na,Lampyridae,na,adult
7/26/2023,201,Coleoptera,na,Chrysomedlidae,na,adult
7/26/2023,201,Coleoptera,na,Chrysomedlidae,na,adult
7/26/2023,201,Coleoptera,na,Coccinelidae,na,adult
7/26/2023,201,Araneomorphae,na,Salticidae,na,adult
7/26/2023,201,Araneomorphae,na,Salticidae,na,adult
7/26/2023,201,Hemiptera,Heteroptera,Pentatomidae,Podisus,adult
7/26/2023,201,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,204,Coleoptera,na,Lampyridae,na,adult
7/26/2023,204,Thysanoptera,na,na,na,adult
7/26/2023,204,Thysanoptera,na,na,na,adult
7/26/2023,204,Hemiptera,Sternorrhyncha,Cocomorpha,na,adult
7/26/2023,204,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,204,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,204,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,204,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,204,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,204,Hemiptera,Heteroptera,Lygaeidae,na,adult
7/26/2023,204,Coleoptera,na,Coccinelidae,na,adult
7/26/2023,204,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,204,Lepidoptera,na,na,na,juvenile
7/26/2023,204,Coleoptera,na,Nitidulidae,na,adult
7/26/2023,204,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,204,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,204,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,204,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,204,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,204,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,204,Hemiptera,Heteroptera,Lygaeidae,na,adult
7/26/2023,204,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,204,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,204,Coleoptera,na,Chrysomedlidae,na,adult
7/26/2023,204,Lepidoptera,na,na,na,juvenile
7/26/2023,204,Lepidoptera,na,na,na,juvenile
7/26/2023,204,Lepidoptera,na,na,na,juvenile
7/26/2023,204,Thysanoptera,na,na,na,adult
7/26/2023,204,Thysanoptera,na,na,na,adult
7/26/2023,204,Thysanoptera,na,na,na,adult
7/26/2023,204,Thysanoptera,na,na,na,adult
7/26/2023,301,Thysanoptera,na,na,na,adult
7/26/2023,301,Coleoptera,na,Scarabaeidae,na,adult
7/26/2023,301,Hemiptera,Auchenorrhynca,Membracidae,na,adult
7/26/2023,301,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,301,Hemiptera,Heteroptera,Anthocoridae,na,juvenile
7/26/2023,301,Hemiptera,Heteroptera,Anthocoridae,na,juvenile
7/26/2023,301,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,301,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,301,Thysanoptera,na,na,na,adult
7/26/2023,301,Araneomorphae,na,Linyphiidae,na,adult
7/26/2023,301,Araneomorphae,na,Thomisidae,na,adult
7/26/2023,301,Hemiptera,Heteroptera,Lygaeidae,na,adult
7/26/2023,301,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,301,Hemiptera,Auchenorrhynca,Cicadelidae,na,juvenile
7/26/2023,301,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,301,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,301,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,303,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,303,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,303,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,303,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,303,Coleoptera,na,Lampyridae,na,adult
7/26/2023,303,Coleoptera,na,Lampyridae,na,adult
7/26/2023,303,Coleoptera,na,Scarabaeidae,na,adult
7/26/2023,303,Lepidoptera,na,na,na,juvenile
7/26/2023,303,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,303,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,303,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,303,Hemiptera,Sternorrhyncha,Aphidae,na,adult
7/26/2023,303,Neuroptera,na,Hemerobiidae,na,adult
7/26/2023,303,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,303,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,303,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,303,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,303,Araneomorphae,na,Linyphiidae,na,adult
7/26/2023,303,Araneomorphae,na,Araneidae,na,adult
7/26/2023,303,Coleoptera,na,Coccinelidae,na,adult
7/26/2023,303,Hemiptera,Sternorrhyncha,Aphidae,na,adult
7/26/2023,303,Hemiptera,Sternorrhyncha,Aphidae,na,adult
7/26/2023,303,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,304,Coleoptera,na,Chrysomedlidae,na,adult
7/26/2023,304,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,304,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,304,Hemiptera,Sternorrhyncha,Psyllidae,na,adult
7/26/2023,304,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,304,Coleoptera,na,Chrysomedlidae,na,adult
7/26/2023,304,Coleoptera,na,Chrysomedlidae,na,adult
7/26/2023,304,Araneomorphae,na,Salticidae,na,adult
7/26/2023,304,Araneomorphae,na,Linyphiidae,na,adult
7/26/2023,304,Araneomorphae,na,Araneidae,na,adult
7/26/2023,304,Coleoptera,na,Chrysomedlidae,na,adult
7/26/2023,304,Coleoptera,na,Chrysomedlidae,na,adult
7/26/2023,304,Coleoptera,na,Chrysomedlidae,na,adult
7/26/2023,304,Coleoptera,na,Chrysomedlidae,na,adult
7/26/2023,304,Coleoptera,na,Chrysomedlidae,na,adult
7/26/2023,304,Coleoptera,na,Coccinelidae,na,adult
7/26/2023,304,Coleoptera,na,Coccinelidae,na,adult
7/26/2023,304,Coleoptera,na,Lampyridae,na,adult
7/26/2023,304,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,304,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,304,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,304,Coleoptera,na,Chrysomedlidae,na,adult
7/26/2023,403,Hemiptera,Heteroptera,Lygaeidae,na,adult
7/26/2023,403,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,403,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,403,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,403,Araneomorphae,na,Salticidae,na,adult
7/26/2023,403,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
