location,date,tempC,growth,plotid,block,treatment,transect,damaged,total
PA,6/23/2021,11.11,V5,404,4,4,5,19,15
PA,6/23/2021,11.11,V5,501,5,2,1,17,14
PA,6/23/2021,11.11,V5,501,5,2,2,18,18
PA,6/23/2021,11.11,V5,501,5,2,3,19,16
PA,6/23/2021,11.11,V5,501,5,2,4,20,17
PA,6/23/2021,11.11,V5,501,5,2,5,18,18
PA,6/23/2021,11.11,V5,502,5,3,1,16,14
PA,6/23/2021,11.11,V5,502,5,3,2,18,17
PA,6/23/2021,11.11,V5,502,5,3,3,13,12
PA,6/23/2021,11.11,V5,502,5,3,4,17,17
PA,6/23/2021,11.11,V5,502,5,3,5,13,12
PA,6/23/2021,11.11,V5,503,5,1,1,17,7
PA,6/23/2021,11.11,V5,503,5,1,2,19,10
PA,6/23/2021,11.11,V5,503,5,1,3,17,15
PA,6/23/2021,11.11,V5,503,5,1,4,19,11
PA,6/23/2021,11.11,V5,503,5,1,5,18,9
PA,6/23/2021,11.11,V5,504,5,4,1,17,15
PA,6/23/2021,11.11,V5,504,5,4,2,18,12
PA,6/23/2021,11.11,V5,504,5,4,3,17,8
PA,6/23/2021,11.11,V5,504,5,4,4,18,16
PA,6/23/2021,11.11,V5,504,5,4,5,17,12
PA,7/5/2023,24,V5,101,1,,1,2,5
PA,7/5/2023,24,V5,101,1,,2,4,6
PA,7/5/2023,24,V5,101,1,,3,2,10
PA,7/5/2023,24,V5,102,1,,1,6,8
PA,7/5/2023,24,V5,102,1,,2,3,5
PA,7/5/2023,24,V5,102,1,,3,4,6
PA,7/5/2023,24,V5,103,1,,1,2,4
PA,7/5/2023,24,V5,103,1,,2,1,8
PA,7/5/2023,24,V5,103,1,,3,2,9
PA,7/5/2023,24,V5,104,1,,1,1,10
PA,7/5/2023,24,V5,104,1,,2,0,5
PA,7/5/2023,24,V5,104,1,,3,5,6
PA,7/5/2023,24,V5,201,2,,1,2,8
PA,7/5/2023,24,V5,201,2,,2,8,8
PA,7/5/2023,24,V5,201,2,,3,2,4
PA,7/5/2023,24,V5,202,2,,1,8,11
PA,7/5/2023,24,V5,202,2,,2,5,6
PA,7/5/2023,24,V5,202,2,,3,3,7
PA,7/5/2023,24,V5,203,2,,1,8,10
PA,7/5/2023,24,V5,203,2,,2,3,5
PA,7/5/2023,24,V5,203,2,,3,6,6
PA,7/5/2023,24,V5,204,2,,1,1,1
PA,7/5/2023,24,V5,204,2,,2,2,8
PA,7/5/2023,24,V5,204,2,,3,4,6
PA,7/5/2023,24,V5,301,3,,1,1,4
PA,7/5/2023,24,V5,301,3,,2,2,6
PA,7/5/2023,24,V5,301,3,,3,6,6
PA,7/5/2023,24,V5,302,3,,1,3,6
PA,7/5/2023,24,V5,302,3,,2,1,3
PA,7/5/2023,24,V5,302,3,,3,4,9
PA,7/5/2023,24,V5,303,3,,1,5,10
PA,7/5/2023,24,V5,303,3,,2,9,10
PA,7/5/2023,24,V5,303,3,,3,2,10
PA,7/5/2023,24,V5,304,3,,1,9,9
PA,7/5/2023,24,V5,304,3,,2,7,7
PA,7/5/2023,24,V5,304,3,,3,6,9
PA,7/5/2023,24,V5,401,4,,1,11,11
PA,7/5/2023,24,V5,401,4,,2,3,3
PA,7/5/2023,24,V5,401,4,,3,6,13
PA,7/5/2023,24,V5,402,4,,1,8,8
PA,7/5/2023,24,V5,402,4,,2,9,9
PA,7/5/2023,24,V5,402,4,,3,2,3
PA,7/5/2023,24,V5,403,4,,1,7,8
PA,7/5/2023,24,V5,403,4,,2,3,3
PA,7/5/2023,24,V5,403,4,,3,3,3
PA,7/5/2023,24,V5,404,4,,1,4,12
PA,7/5/2023,24,V5,404,4,,2,4,8
PA,7/5/2023,24,V5,404,4,,3,4,6
PA,7/5/2023,24,V5,501,5,,1,3,7
PA,7/5/2023,24,V5,501,5,,2,9,9
PA,7/5/2023,24,V5,501,5,,3,10,11
PA,7/5/2023,24,V5,502,5,,1,11,12
PA,7/5/2023,24,V5,502,5,,2,8,9
PA,7/5/2023,24,V5,502,5,,3,9,9
PA,7/5/2023,24,V5,503,5,,1,7,7
PA,7/5/2023,24,V5,503,5,,2,5,5
PA,7/5/2023,24,V5,503,5,,3,10,10
PA,7/5/2023,24,V5,504,5,,1,4,9
PA,7/5/2023,24,V5,504,5,,2,2,10
PA,7/5/2023,24,V5,504,5,,3,4,7
PA,6/20/2023,12,V3,101,1,,1,4,4
PA,6/20/2023,12,V3,101,1,,2,3,7
PA,6/20/2023,12,V3,101,1,,3,6,7
PA,6/20/2023,12,V3,102,1,,1,9,10
PA,6/20/2023,12,V3,102,1,,2,3,9
PA,6/20/2023,12,V3,102,1,,3,7,9
PA,6/20/2023,12,V3,103,1,,1,9,11
PA,6/20/2023,12,V3,103,1,,2,2,4
PA,6/20/2023,12,V3,103,1,,3,3,7
PA,6/20/2023,12,V3,104,1,,1,5,8
PA,6/20/2023,12,V3,104,1,,2,3,4
PA,6/20/2023,12,V3,104,1,,3,7,11
PA,6/20/2023,12,V3,201,2,,1,6,12
PA,6/20/2023,12,V3,201,2,,2,3,5
PA,6/20/2023,12,V3,201,2,,3,10,11
PA,6/20/2023,12,V3,202,2,,1,7,10
PA,6/20/2023,12,V3,202,2,,2,7,11
PA,6/20/2023,12,V3,202,2,,3,10,12
PA,6/20/2023,12,V3,203,2,,1,8,9
PA,6/20/2023,12,V3,203,2,,2,4,8
PA,6/20/2023,12,V3,203,2,,3,8,15
PA,6/20/2023,12,V3,204,2,,1,2,10
PA,6/20/2023,12,V3,204,2,,2,3,12
PA,6/20/2023,12,V3,204,2,,3,5,13
PA,6/20/2023,12,V3,301,3,,1,3,5
PA,6/20/2023,12,V3,301,3,,2,8,8
PA,6/20/2023,12,V3,301,3,,3,4,6
PA,6/20/2023,12,V3,302,3,,1,4,7
PA,6/20/2023,12,V3,302,3,,2,2,3
PA,6/20/2023,12,V3,302,3,,3,3,4
PA,6/20/2023,12,V3,303,3,,1,1,7
PA,6/20/2023,12,V3,303,3,,2,9,10
PA,6/20/2023,12,V3,303,3,,3,11,11
PA,6/20/2023,12,V3,304,3,,1,3,3
PA,6/20/2023,12,V3,304,3,,2,2,2
PA,6/20/2023,12,V3,304,3,,3,7,10
PA,6/20/2023,12,V3,401,4,,1,7,11
PA,6/20/2023,12,V3,401,4,,2,9,11
PA,6/20/2023,12,V3,401,4,,3,4,10
PA,6/20/2023,12,V3,402,4,,1,6,8
PA,6/20/2023,12,V3,402,4,,2,9,16
PA,6/20/2023,12,V3,402,4,,3,6,7
PA,6/20/2023,12,V3,403,4,,1,8,12
PA,6/20/2023,12,V3,403,4,,2,9,13
PA,6/20/2023,12,V3,403,4,,3,6,13
PA,6/20/2023,12,V3,404,4,,1,6,9
PA,6/20/2023,12,V3,404,4,,2,9,9
PA,6/20/2023,12,V3,404,4,,3,8,10
PA,6/20/2023,12,V3,501,5,,1,4,6
PA,6/20/2023,12,V3,501,5,,2,8,8
PA,6/20/2023,12,V3,501,5,,3,5,8
PA,6/20/2023,12,V3,502,5,,1,11,11
PA,6/20/2023,12,V3,502,5,,2,4,7
PA,6/20/2023,12,V3,502,5,,3,7,8
PA,6/20/2023,12,V3,503,5,,1,8,10
PA,6/20/2023,12,V3,503,5,,2,8,10
PA,6/20/2023,12,V3,503,5,,3,2,2
PA,6/20/2023,12,V3,504,5,,1,7,11
PA,6/20/2023,12,V3,504,5,,2,4,8
PA,6/20/2023,12,V3,504,5,,3,9,13
