location,date,n.weather,d.weather,growth_stage,plot_id,block,treatment,row,sample,n.absent,n.partial,n.predated,d.absent,d.partial,d.predated,to.predated
PA,6/16/2021,15.28,18.44,V3,403,4,2,11,5,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,403,4,2,11,6,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,404,4,4,6,1,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,404,4,4,6,2,1,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,404,4,4,6,3,0,0,0,0,1,1,1
PA,6/16/2021,15.28,18.44,V3,404,4,4,11,4,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,404,4,4,11,5,1,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,404,4,4,11,6,1,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,501,5,2,6,1,0,1,1,0,1,na,1
PA,6/16/2021,15.28,18.44,V3,501,5,2,6,2,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,501,5,2,6,3,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,501,5,2,11,4,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,501,5,2,11,5,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,501,5,2,11,6,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,502,5,3,6,1,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,502,5,3,6,2,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,502,5,3,6,3,0,0,0,1,1,1,1
PA,6/16/2021,15.28,18.44,V3,502,5,3,11,4,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,502,5,3,11,5,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,502,5,3,11,6,1,1,1,0,1,na,1
PA,6/16/2021,15.28,18.44,V3,503,5,1,6,1,1,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,503,5,1,6,2,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,503,5,1,6,3,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,503,5,1,11,4,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,503,5,1,11,5,0,1,1,0,1,na,1
PA,6/16/2021,15.28,18.44,V3,503,5,1,11,6,0,1,1,0,1,na,1
PA,6/16/2021,15.28,18.44,V3,504,5,4,6,1,0,0,0,0,1,1,1
PA,6/16/2021,15.28,18.44,V3,504,5,4,6,2,0,0,0,0,1,1,1
PA,6/16/2021,15.28,18.44,V3,504,5,4,6,3,0,0,0,0,1,1,1
PA,6/16/2021,15.28,18.44,V3,504,5,4,11,4,1,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,504,5,4,11,5,0,1,1,0,0,na,1
PA,6/16/2021,15.28,18.44,V3,504,5,4,11,6,0,0,0,0,1,1,1
PA,6/24/2021,15.22,21.11,V5,101,1,1,6,1,0,0,0,0,0,0,0
PA,6/24/2021,15.22,21.11,V5,101,1,1,6,2,0,0,0,0,0,0,0
PA,6/24/2021,15.22,21.11,V5,101,1,1,6,3,0,0,0,0,0,0,0
PA,6/24/2021,15.22,21.11,V5,101,1,1,11,4,1,1,1,0,1,na,1
PA,6/24/2021,15.22,21.11,V5,101,1,1,11,5,0,0,0,0,0,0,0
PA,6/24/2021,15.22,21.11,V5,101,1,1,11,6,0,0,0,0,0,0,0
PA,6/24/2021,15.22,21.11,V5,102,1,3,6,1,0,0,0,0,0,0,0
PA,6/24/2021,15.22,21.11,V5,102,1,3,6,2,0,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,102,1,3,6,3,1,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,102,1,3,11,4,1,1,1,0,1,na,1
PA,6/24/2021,15.22,21.11,V5,102,1,3,11,5,0,0,0,0,0,0,0
PA,6/24/2021,15.22,21.11,V5,102,1,3,11,6,0,0,0,1,1,1,1
PA,6/24/2021,15.22,21.11,V5,103,1,2,6,1,0,0,0,0,0,0,0
PA,6/24/2021,15.22,21.11,V5,103,1,2,6,2,0,0,0,0,0,0,0
PA,6/24/2021,15.22,21.11,V5,103,1,2,6,3,0,0,0,0,1,1,1
PA,6/24/2021,15.22,21.11,V5,103,1,2,11,4,1,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,103,1,2,11,5,1,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,103,1,2,11,6,0,0,0,0,1,1,1
PA,6/24/2021,15.22,21.11,V5,104,1,4,6,1,0,0,0,1,1,1,1
PA,6/24/2021,15.22,21.11,V5,104,1,4,6,2,1,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,104,1,4,6,3,1,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,104,1,4,11,4,0,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,104,1,4,11,5,0,0,0,0,1,1,1
PA,6/24/2021,15.22,21.11,V5,104,1,4,11,6,0,0,0,1,1,1,1
PA,6/24/2021,15.22,21.11,V5,201,2,3,6,1,0,0,0,0,1,1,1
PA,6/24/2021,15.22,21.11,V5,201,2,3,6,2,0,0,0,0,1,1,1
PA,6/24/2021,15.22,21.11,V5,201,2,3,6,3,0,0,0,0,1,1,1
PA,6/24/2021,15.22,21.11,V5,201,2,3,11,4,0,0,0,0,1,1,1
PA,6/24/2021,15.22,21.11,V5,201,2,3,11,5,0,0,0,0,0,0,0
PA,6/24/2021,15.22,21.11,V5,201,2,3,11,6,1,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,202,2,4,6,1,0,0,0,1,1,1,1
PA,6/24/2021,15.22,21.11,V5,202,2,4,6,2,0,0,0,1,1,1,1
PA,6/24/2021,15.22,21.11,V5,202,2,4,6,3,0,1,1,0,1,na,1
PA,6/24/2021,15.22,21.11,V5,202,2,4,11,4,0,0,0,1,1,1,1
PA,6/24/2021,15.22,21.11,V5,202,2,4,11,5,0,0,0,1,1,1,1
PA,6/24/2021,15.22,21.11,V5,202,2,4,11,6,0,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,203,2,1,6,1,0,1,1,0,1,na,1
PA,6/24/2021,15.22,21.11,V5,203,2,1,6,2,1,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,203,2,1,6,3,0,0,0,0,0,0,0
PA,6/24/2021,15.22,21.11,V5,203,2,1,11,4,0,0,0,0,0,0,0
PA,6/24/2021,15.22,21.11,V5,203,2,1,11,5,0,0,0,0,1,1,1
PA,6/24/2021,15.22,21.11,V5,203,2,1,11,6,0,0,0,1,1,1,1
PA,6/24/2021,15.22,21.11,V5,204,2,2,6,1,0,0,0,0,0,0,0
PA,6/24/2021,15.22,21.11,V5,204,2,2,6,2,0,0,0,0,0,0,0
PA,6/24/2021,15.22,21.11,V5,204,2,2,6,3,0,0,0,0,0,0,0
PA,6/24/2021,15.22,21.11,V5,204,2,2,11,4,0,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,204,2,2,11,5,1,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,204,2,2,11,6,0,0,0,0,1,1,1
PA,6/24/2021,15.22,21.11,V5,301,3,4,6,1,0,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,301,3,4,6,2,0,0,0,0,1,1,1
PA,6/24/2021,15.22,21.11,V5,301,3,4,6,3,1,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,301,3,4,11,4,0,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,301,3,4,11,5,0,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,301,3,4,11,6,0,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,302,3,2,6,1,0,0,0,0,0,0,0
PA,6/24/2021,15.22,21.11,V5,302,3,2,6,2,0,0,0,0,1,1,1
PA,6/24/2021,15.22,21.11,V5,302,3,2,6,3,0,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,302,3,2,11,4,1,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,302,3,2,11,5,0,0,0,0,0,0,0
PA,6/24/2021,15.22,21.11,V5,302,3,2,11,6,0,0,0,0,1,1,1
PA,6/24/2021,15.22,21.11,V5,303,3,3,6,1,0,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,303,3,3,6,2,0,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,303,3,3,6,3,0,0,0,0,1,1,1
PA,6/24/2021,15.22,21.11,V5,303,3,3,11,4,1,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,303,3,3,11,5,0,0,0,0,0,0,0
PA,6/24/2021,15.22,21.11,V5,303,3,3,11,6,0,0,0,1,1,1,1
PA,6/24/2021,15.22,21.11,V5,304,3,1,6,1,0,1,1,0,1,na,1
PA,6/24/2021,15.22,21.11,V5,304,3,1,6,2,0,0,0,0,0,0,0
PA,6/24/2021,15.22,21.11,V5,304,3,1,6,3,0,0,0,0,0,0,0
PA,6/24/2021,15.22,21.11,V5,304,3,1,11,4,0,0,0,0,1,1,1
PA,6/24/2021,15.22,21.11,V5,304,3,1,11,5,0,1,1,0,1,na,1
PA,6/24/2021,15.22,21.11,V5,304,3,1,11,6,0,1,1,0,1,na,1
PA,6/24/2021,15.22,21.11,V5,401,4,1,6,1,0,1,1,0,1,na,1
PA,6/24/2021,15.22,21.11,V5,401,4,1,6,2,0,0,0,0,0,0,0
PA,6/24/2021,15.22,21.11,V5,401,4,1,6,3,0,0,0,0,0,0,0
PA,6/24/2021,15.22,21.11,V5,401,4,1,11,4,0,1,1,0,1,na,1
PA,6/24/2021,15.22,21.11,V5,401,4,1,11,5,0,1,1,0,1,na,1
PA,6/24/2021,15.22,21.11,V5,401,4,1,11,6,0,1,1,0,1,na,1
PA,6/24/2021,15.22,21.11,V5,402,4,3,6,1,1,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,402,4,3,6,2,1,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,402,4,3,6,3,1,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,402,4,3,11,4,1,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,402,4,3,11,5,1,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,402,4,3,11,6,0,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,403,4,2,6,1,1,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,403,4,2,6,2,0,1,1,0,1,na,1
PA,6/24/2021,15.22,21.11,V5,403,4,2,6,3,0,1,1,0,1,na,1
PA,6/24/2021,15.22,21.11,V5,403,4,2,11,4,0,1,1,0,1,na,1
PA,6/24/2021,15.22,21.11,V5,403,4,2,11,5,0,1,1,0,1,na,1
PA,6/24/2021,15.22,21.11,V5,403,4,2,11,6,0,0,0,0,1,1,1
PA,6/24/2021,15.22,21.11,V5,404,4,4,6,1,0,1,1,0,1,na,1
PA,6/24/2021,15.22,21.11,V5,404,4,4,6,2,0,0,0,0,1,1,1
PA,6/24/2021,15.22,21.11,V5,404,4,4,6,3,0,0,0,1,1,1,1
PA,6/24/2021,15.22,21.11,V5,404,4,4,11,4,0,0,0,1,1,1,1
PA,6/24/2021,15.22,21.11,V5,404,4,4,11,5,1,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,404,4,4,11,6,1,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,501,5,2,6,1,0,0,0,0,0,0,0
PA,6/24/2021,15.22,21.11,V5,501,5,2,6,2,0,1,1,0,1,na,1
PA,6/24/2021,15.22,21.11,V5,501,5,2,6,3,0,0,0,0,1,1,1
PA,6/24/2021,15.22,21.11,V5,501,5,2,11,4,0,0,0,0,0,0,0
PA,6/24/2021,15.22,21.11,V5,501,5,2,11,5,0,0,0,0,1,1,1
PA,6/24/2021,15.22,21.11,V5,501,5,2,11,6,0,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,502,5,3,6,1,0,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,502,5,3,6,2,0,0,0,0,0,0,0
PA,6/24/2021,15.22,21.11,V5,502,5,3,6,3,1,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,502,5,3,11,4,1,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,502,5,3,11,5,1,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,502,5,3,11,6,0,1,1,0,1,na,1
PA,6/24/2021,15.22,21.11,V5,503,5,1,6,1,0,0,0,0,0,0,0
PA,6/24/2021,15.22,21.11,V5,503,5,1,6,2,0,1,1,0,1,na,1
PA,6/24/2021,15.22,21.11,V5,503,5,1,6,3,0,1,1,0,1,na,1
PA,6/24/2021,15.22,21.11,V5,503,5,1,11,4,0,0,0,0,1,1,1
PA,6/24/2021,15.22,21.11,V5,503,5,1,11,5,0,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,503,5,1,11,6,0,0,0,0,1,1,1
PA,6/24/2021,15.22,21.11,V5,504,5,4,6,1,1,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,504,5,4,6,2,0,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,504,5,4,6,3,0,0,0,0,1,1,1
PA,6/24/2021,15.22,21.11,V5,504,5,4,11,4,1,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,504,5,4,11,5,1,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,504,5,4,11,6,0,1,1,0,1,na,1
PA,8/24/2021,18.72,24,R3,101,1,1,6,1,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,101,1,1,6,2,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,101,1,1,6,3,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,101,1,1,11,4,0,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,101,1,1,11,5,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,101,1,1,11,6,0,0,0,0,0,0,0
PA,8/24/2021,18.72,24,R3,102,1,3,6,1,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,102,1,3,6,2,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,102,1,3,6,3,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,102,1,3,11,4,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,102,1,3,11,5,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,102,1,3,11,6,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,103,1,2,6,1,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,103,1,2,6,2,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,103,1,2,6,3,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,103,1,2,11,4,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,103,1,2,11,5,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,103,1,2,11,6,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,104,1,4,6,1,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,104,1,4,6,2,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,104,1,4,6,3,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,104,1,4,11,4,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,104,1,4,11,5,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,104,1,4,11,6,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,201,2,3,6,1,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,201,2,3,6,2,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,201,2,3,6,3,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,201,2,3,11,4,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,201,2,3,11,5,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,201,2,3,11,6,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,202,2,4,6,1,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,202,2,4,6,2,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,202,2,4,6,3,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,202,2,4,11,4,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,202,2,4,11,5,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,202,2,4,11,6,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,203,2,1,6,1,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,203,2,1,6,2,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,203,2,1,6,3,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,203,2,1,11,4,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,203,2,1,11,5,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,203,2,1,11,6,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,204,2,2,6,1,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,204,2,2,6,2,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,204,2,2,6,3,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,204,2,2,11,4,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,204,2,2,11,5,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,204,2,2,11,6,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,301,3,4,6,1,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,301,3,4,6,2,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,301,3,4,6,3,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,301,3,4,11,4,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,301,3,4,11,5,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,301,3,4,11,6,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,302,3,2,6,1,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,302,3,2,6,2,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,302,3,2,6,3,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,302,3,2,11,4,0,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,302,3,2,11,5,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,302,3,2,11,6,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,303,3,3,6,1,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,303,3,3,6,2,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,303,3,3,6,3,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,303,3,3,11,4,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,303,3,3,11,5,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,303,3,3,11,6,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,304,3,1,6,1,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,304,3,1,6,2,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,304,3,1,6,3,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,304,3,1,11,4,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,304,3,1,11,5,1,1,1,1,1,na,1
