location,season,month,date,7day_precip,temp,time,plot_id,block,treatment,row,shingle_id,slug_count
PA,spring,june,6/1/2021,2.67,9,6:34,103,1,2,10.5,103-3,1
PA,spring,june,6/1/2021,2.67,9,6:34,103,1,2,10.5,103-4,0
PA,spring,june,6/1/2021,2.67,9,6:38,104,1,4,6.5,104-1,1
PA,spring,june,6/1/2021,2.67,9,6:38,104,1,4,6.5,104-2,1
PA,spring,june,6/1/2021,2.67,9,6:38,104,1,4,10.5,104-3,2
PA,spring,june,6/1/2021,2.67,9,6:38,104,1,4,10.5,104-4,0
PA,spring,june,6/1/2021,2.67,9,6:52,201,2,3,6.5,201-1,2
PA,spring,june,6/1/2021,2.67,9,6:52,201,2,3,6.5,201-2,2
PA,spring,june,6/1/2021,2.67,9,6:52,201,2,3,10.5,201-3,1
PA,spring,june,6/1/2021,2.67,9,6:52,201,2,3,10.5,201-4,2
PA,spring,june,6/1/2021,2.67,9,6:48,202,2,4,6.5,202-1,4
PA,spring,june,6/1/2021,2.67,9,6:48,202,2,4,6.5,202-2,2
PA,spring,june,6/1/2021,2.67,9,6:48,202,2,4,10.5,202-3,2
PA,spring,june,6/1/2021,2.67,9,6:48,202,2,4,10.5,202-4,1
PA,spring,june,6/1/2021,2.67,9,6:52,203,2,1,6.5,203-1,0
PA,spring,june,6/1/2021,2.67,9,6:52,203,2,1,6.5,203-2,0
PA,spring,june,6/1/2021,2.67,9,6:52,203,2,1,10.5,203-3,0
PA,spring,june,6/1/2021,2.67,9,6:52,203,2,1,10.5,203-4,1
PA,spring,june,6/1/2021,2.67,9,6:42,204,2,2,6.5,204-1,4
PA,spring,june,6/1/2021,2.67,9,6:42,204,2,2,6.5,204-2,0
PA,spring,june,6/1/2021,2.67,9,6:42,204,2,2,10.5,204-3,2
PA,spring,june,6/1/2021,2.67,9,6:42,204,2,2,10.5,204-4,0
PA,spring,june,6/1/2021,2.67,9,6:56,301,3,4,6.5,301-1,1
PA,spring,june,6/1/2021,2.67,9,6:56,301,3,4,6.5,301-2,0
PA,spring,june,6/1/2021,2.67,9,6:56,301,3,4,10.5,301-3,3
PA,spring,june,6/1/2021,2.67,9,6:56,301,3,4,10.5,301-4,2
PA,spring,june,6/1/2021,2.67,9,7:01,302,3,2,6.5,302-1,0
PA,spring,june,6/1/2021,2.67,9,7:01,302,3,2,6.5,302-2,5
PA,spring,june,6/1/2021,2.67,9,7:01,302,3,2,10.5,302-3,1
PA,spring,june,6/1/2021,2.67,9,7:01,302,3,2,10.5,302-4,5
PA,spring,june,6/1/2021,2.67,9,7:05,303,3,3,6.5,303-1,3
PA,spring,june,6/1/2021,2.67,9,7:05,303,3,3,6.5,303-2,9
PA,spring,june,6/1/2021,2.67,9,7:05,303,3,3,10.5,303-3,1
PA,spring,june,6/1/2021,2.67,9,7:05,303,3,3,10.5,303-4,1
PA,spring,june,6/1/2021,2.67,9,7:10,304,3,1,6.5,304-1,1
PA,spring,june,6/1/2021,2.67,9,7:10,304,3,1,6.5,304-2,0
PA,spring,june,6/1/2021,2.67,9,7:10,304,3,1,10.5,304-3,0
PA,spring,june,6/1/2021,2.67,9,7:10,304,3,1,10.5,304-4,0
PA,spring,june,6/1/2021,2.67,9,7:25,401,4,1,6.5,401-1,0
PA,spring,june,6/1/2021,2.67,9,7:25,401,4,1,6.5,401-2,0
PA,spring,june,6/1/2021,2.67,9,7:25,401,4,1,10.5,401-3,0
PA,spring,june,6/1/2021,2.67,9,7:25,401,4,1,10.5,401-4,2
PA,spring,june,6/1/2021,2.67,9,7:21,402,4,3,6.5,402-1,1
PA,spring,june,6/1/2021,2.67,9,7:21,402,4,3,6.5,402-2,4
PA,spring,june,6/1/2021,2.67,9,7:21,402,4,3,10.5,402-3,11
PA,spring,june,6/1/2021,2.67,9,7:21,402,4,3,10.5,402-4,6
PA,spring,june,6/1/2021,2.67,9,7:16,403,4,2,6.5,403-1,0
PA,spring,june,6/1/2021,2.67,9,7:16,403,4,2,6.5,403-2,0
PA,spring,june,6/1/2021,2.67,9,7:16,403,4,2,10.5,403-3,3
PA,spring,june,6/1/2021,2.67,9,7:16,403,4,2,10.5,403-4,1
PA,spring,june,6/1/2021,2.67,9,7:12,404,4,4,6.5,404-1,3
PA,spring,june,6/1/2021,2.67,9,7:12,404,4,4,6.5,404-2,1
PA,spring,june,6/1/2021,2.67,9,7:12,404,4,4,10.5,404-3,2
PA,spring,june,6/1/2021,2.67,9,7:12,404,4,4,10.5,404-4,2
PA,spring,june,6/1/2021,2.67,9,7:28,501,5,2,6.5,501-1,4
PA,spring,june,6/1/2021,2.67,9,7:28,501,5,2,6.5,501-2,6
PA,spring,june,6/1/2021,2.67,9,7:28,501,5,2,10.5,501-3,2
PA,spring,june,6/1/2021,2.67,9,7:28,501,5,2,10.5,501-4,0
PA,spring,june,6/1/2021,2.67,9,7:32,502,5,3,6.5,502-1,1
PA,spring,june,6/1/2021,2.67,9,7:32,502,5,3,6.5,502-2,1
PA,spring,june,6/1/2021,2.67,9,7:32,502,5,3,10.5,502-3,8
PA,spring,june,6/1/2021,2.67,9,7:32,502,5,3,10.5,502-4,2
PA,spring,june,6/1/2021,2.67,9,7:36,503,5,1,6.5,503-1,0
PA,spring,june,6/1/2021,2.67,9,7:36,503,5,1,6.5,503-2,0
PA,spring,june,6/1/2021,2.67,9,7:36,503,5,1,10.5,503-3,0
PA,spring,june,6/1/2021,2.67,9,7:36,503,5,1,10.5,503-4,1
PA,spring,june,6/1/2021,2.67,9,7:39,504,5,4,6.5,504-1,1
PA,spring,june,6/1/2021,2.67,9,7:39,504,5,4,6.5,504-2,3
PA,spring,june,6/1/2021,2.67,9,7:39,504,5,4,10.5,504-3,1
PA,spring,june,6/1/2021,2.67,9,7:39,504,5,4,10.5,504-4,3
PA,spring,june,6/8/2021,2.49,19.78,6:29,101,1,1,6.5,101-1,1
PA,spring,june,6/8/2021,2.49,19.78,6:29,101,1,1,6.5,101-2,0
PA,spring,june,6/8/2021,2.49,19.78,6:29,101,1,1,10.5,101-3,4
PA,spring,june,6/8/2021,2.49,19.78,6:29,101,1,1,10.5,101-4,1
PA,spring,june,6/8/2021,2.49,19.78,6:32,102,1,3,6.5,102-1,0
PA,spring,june,6/8/2021,2.49,19.78,6:32,102,1,3,6.5,102-2,4
PA,spring,june,6/8/2021,2.49,19.78,6:32,102,1,3,10.5,102-3,0
PA,spring,june,6/8/2021,2.49,19.78,6:32,102,1,3,10.5,102-4,5
PA,spring,june,6/8/2021,2.49,19.78,6:35,103,1,2,6.5,103-1,20
PA,spring,june,6/8/2021,2.49,19.78,6:35,103,1,2,6.5,103-2,6
PA,spring,june,6/8/2021,2.49,19.78,6:35,103,1,2,10.5,103-3,6
PA,spring,june,6/8/2021,2.49,19.78,6:35,103,1,2,10.5,103-4,4
PA,spring,june,6/8/2021,2.49,19.78,6:39,104,1,4,6.5,104-1,7
PA,spring,june,6/8/2021,2.49,19.78,6:39,104,1,4,6.5,104-2,1
PA,spring,june,6/8/2021,2.49,19.78,6:39,104,1,4,10.5,104-3,5
PA,spring,june,6/8/2021,2.49,19.78,6:39,104,1,4,10.5,104-4,4
PA,spring,june,6/8/2021,2.49,19.78,6:25,201,2,3,6.5,201-1,1
PA,spring,june,6/8/2021,2.49,19.78,6:25,201,2,3,6.5,201-2,2
PA,spring,june,6/8/2021,2.49,19.78,6:25,201,2,3,10.5,201-3,2
PA,spring,june,6/8/2021,2.49,19.78,6:25,201,2,3,10.5,201-4,0
PA,spring,june,6/8/2021,2.49,19.78,6:34,202,2,4,6.5,202-1,1
PA,spring,june,6/8/2021,2.49,19.78,6:34,202,2,4,6.5,202-2,4
PA,spring,june,6/8/2021,2.49,19.78,6:34,202,2,4,10.5,202-3,0
PA,spring,june,6/8/2021,2.49,19.78,6:34,202,2,4,10.5,202-4,0
PA,spring,june,6/8/2021,2.49,19.78,6:37,203,2,1,6.5,203-1,1
PA,spring,june,6/8/2021,2.49,19.78,6:37,203,2,1,6.5,203-2,0
PA,spring,june,6/8/2021,2.49,19.78,6:37,203,2,1,10.5,203-3,0
PA,spring,june,6/8/2021,2.49,19.78,6:37,203,2,1,10.5,203-4,2
PA,spring,june,6/8/2021,2.49,19.78,6:40,204,2,2,6.5,204-1,4
PA,spring,june,6/8/2021,2.49,19.78,6:40,204,2,2,6.5,204-2,0
PA,spring,june,6/8/2021,2.49,19.78,6:40,204,2,2,10.5,204-3,2
PA,spring,june,6/8/2021,2.49,19.78,6:40,204,2,2,10.5,204-4,2
PA,spring,june,6/8/2021,2.49,19.78,6:43,301,3,4,6.5,301-1,0
PA,spring,june,6/8/2021,2.49,19.78,6:43,301,3,4,6.5,301-2,1
PA,spring,june,6/8/2021,2.49,19.78,6:43,301,3,4,10.5,301-3,1
PA,spring,june,6/8/2021,2.49,19.78,6:43,301,3,4,10.5,301-4,5
PA,spring,june,6/8/2021,2.49,19.78,6:45,302,3,2,6.5,302-1,1
PA,spring,june,6/8/2021,2.49,19.78,6:45,302,3,2,6.5,302-2,1
PA,spring,june,6/8/2021,2.49,19.78,6:45,302,3,2,10.5,302-3,2
PA,spring,june,6/8/2021,2.49,19.78,6:45,302,3,2,10.5,302-4,3
PA,spring,june,6/8/2021,2.49,19.78,6:47,303,3,3,6.5,303-1,13
PA,spring,june,6/8/2021,2.49,19.78,6:47,303,3,3,6.5,303-2,5
PA,spring,june,6/8/2021,2.49,19.78,6:47,303,3,3,10.5,303-3,3
PA,spring,june,6/8/2021,2.49,19.78,6:47,303,3,3,10.5,303-4,5
PA,spring,june,6/8/2021,2.49,19.78,6:51,304,3,1,6.5,304-1,0
PA,spring,june,6/8/2021,2.49,19.78,6:51,304,3,1,6.5,304-2,4
PA,spring,june,6/8/2021,2.49,19.78,6:51,304,3,1,10.5,304-3,0
PA,spring,june,6/8/2021,2.49,19.78,6:51,304,3,1,10.5,304-4,1
PA,spring,june,6/8/2021,2.49,19.78,6:56,401,4,1,6.5,401-1,4
PA,spring,june,6/8/2021,2.49,19.78,6:56,401,4,1,6.5,401-2,0
PA,spring,june,6/8/2021,2.49,19.78,6:56,401,4,1,10.5,401-3,9
PA,spring,june,6/8/2021,2.49,19.78,6:56,401,4,1,10.5,401-4,2
PA,spring,june,6/8/2021,2.49,19.78,6:51,402,4,3,6.5,402-1,11
PA,spring,june,6/8/2021,2.49,19.78,6:51,402,4,3,6.5,402-2,5
PA,spring,june,6/8/2021,2.49,19.78,6:51,402,4,3,10.5,402-3,11
PA,spring,june,6/8/2021,2.49,19.78,6:51,402,4,3,10.5,402-4,4
PA,spring,june,6/8/2021,2.49,19.78,6:47,403,4,2,6.5,403-1,4
PA,spring,june,6/8/2021,2.49,19.78,6:47,403,4,2,6.5,403-2,3
PA,spring,june,6/8/2021,2.49,19.78,6:47,403,4,2,10.5,403-3,17
PA,spring,june,6/8/2021,2.49,19.78,6:47,403,4,2,10.5,403-4,11
PA,spring,june,6/8/2021,2.49,19.78,6:43,404,4,4,6.5,404-1,6
PA,spring,june,6/8/2021,2.49,19.78,6:43,404,4,4,6.5,404-2,3
PA,spring,june,6/8/2021,2.49,19.78,6:43,404,4,4,10.5,404-3,4
PA,spring,june,6/8/2021,2.49,19.78,6:43,404,4,4,10.5,404-4,4
PA,spring,june,6/8/2021,2.49,19.78,6:58,501,5,2,6.5,501-1,6
PA,spring,june,6/8/2021,2.49,19.78,6:58,501,5,2,6.5,501-2,3
PA,spring,june,6/8/2021,2.49,19.78,6:58,501,5,2,10.5,501-3,18
PA,spring,june,6/8/2021,2.49,19.78,6:58,501,5,2,10.5,501-4,0
PA,spring,june,6/8/2021,2.49,19.78,7:01,502,5,3,6.5,502-1,1
PA,spring,june,6/8/2021,2.49,19.78,7:01,502,5,3,6.5,502-2,8
PA,spring,june,6/8/2021,2.49,19.78,7:01,502,5,3,10.5,502-3,9
PA,spring,june,6/8/2021,2.49,19.78,7:01,502,5,3,10.5,502-4,14
PA,spring,june,6/8/2021,2.49,19.78,6:57,503,5,1,6.5,503-1,5
PA,spring,june,6/8/2021,2.49,19.78,6:57,503,5,1,6.5,503-2,2
PA,spring,june,6/8/2021,2.49,19.78,6:57,503,5,1,10.5,503-3,2
PA,spring,june,6/8/2021,2.49,19.78,6:57,503,5,1,10.5,503-4,3
PA,spring,june,6/8/2021,2.49,19.78,6:54,504,5,4,6.5,504-1,5
PA,spring,june,6/8/2021,2.49,19.78,6:54,504,5,4,6.5,504-2,3
PA,spring,june,6/8/2021,2.49,19.78,6:54,504,5,4,10.5,504-3,5
PA,spring,june,6/8/2021,2.49,19.78,6:54,504,5,4,10.5,504-4,4
PA,spring,june,6/15/2021,2.31,12.28,6:34,101,1,1,6.5,101-1,0
PA,spring,june,6/15/2021,2.31,12.28,6:34,101,1,1,6.5,101-2,0
PA,spring,june,6/15/2021,2.31,12.28,6:34,101,1,1,10.5,101-3,5
PA,spring,june,6/15/2021,2.31,12.28,6:34,101,1,1,10.5,101-4,2
PA,spring,june,6/15/2021,2.31,12.28,6:37,102,1,3,6.5,102-1,6
PA,spring,june,6/15/2021,2.31,12.28,6:37,102,1,3,6.5,102-2,5
PA,spring,june,6/15/2021,2.31,12.28,6:37,102,1,3,10.5,102-3,8
PA,spring,june,6/15/2021,2.31,12.28,6:37,102,1,3,10.5,102-4,3
PA,spring,june,6/15/2021,2.31,12.28,6:41,103,1,2,6.5,103-1,3
PA,spring,june,6/15/2021,2.31,12.28,6:41,103,1,2,6.5,103-2,2
PA,spring,june,6/15/2021,2.31,12.28,6:41,103,1,2,10.5,103-3,3
PA,spring,june,6/15/2021,2.31,12.28,6:41,103,1,2,10.5,103-4,6
PA,spring,june,6/15/2021,2.31,12.28,6:44,104,1,4,6.5,104-1,5
PA,spring,june,6/15/2021,2.31,12.28,6:44,104,1,4,6.5,104-2,5
PA,spring,june,6/15/2021,2.31,12.28,6:44,104,1,4,10.5,104-3,11
PA,spring,june,6/15/2021,2.31,12.28,6:44,104,1,4,10.5,104-4,0
PA,spring,june,6/15/2021,2.31,12.28,6:32,201,2,3,6.5,201-1,5
PA,spring,june,6/15/2021,2.31,12.28,6:32,201,2,3,6.5,201-2,5
PA,spring,june,6/15/2021,2.31,12.28,6:32,201,2,3,10.5,201-3,2
PA,spring,june,6/15/2021,2.31,12.28,6:32,201,2,3,10.5,201-4,3
PA,spring,june,6/15/2021,2.31,12.28,6:36,202,2,4,6.5,202-1,2
PA,spring,june,6/15/2021,2.31,12.28,6:36,202,2,4,6.5,202-2,1
PA,spring,june,6/15/2021,2.31,12.28,6:36,202,2,4,10.5,202-3,1
PA,spring,june,6/15/2021,2.31,12.28,6:36,202,2,4,10.5,202-4,3
PA,spring,june,6/15/2021,2.31,12.28,6:39,203,2,1,6.5,203-1,0
PA,spring,june,6/15/2021,2.31,12.28,6:39,203,2,1,6.5,203-2,0
PA,spring,june,6/15/2021,2.31,12.28,6:39,203,2,1,10.5,203-3,4
PA,spring,june,6/15/2021,2.31,12.28,6:39,203,2,1,10.5,203-4,1
PA,spring,june,6/15/2021,2.31,12.28,6:41,204,2,2,6.5,204-1,1
PA,spring,june,6/15/2021,2.31,12.28,6:41,204,2,2,6.5,204-2,3
PA,spring,june,6/15/2021,2.31,12.28,6:41,204,2,2,10.5,204-3,7
PA,spring,june,6/15/2021,2.31,12.28,6:41,204,2,2,10.5,204-4,2
PA,spring,june,6/15/2021,2.31,12.28,6:45,301,3,4,6.5,301-1,2
PA,spring,june,6/15/2021,2.31,12.28,6:45,301,3,4,6.5,301-2,2
PA,spring,june,6/15/2021,2.31,12.28,6:45,301,3,4,10.5,301-3,1
PA,spring,june,6/15/2021,2.31,12.28,6:45,301,3,4,10.5,301-4,2
PA,spring,june,6/15/2021,2.31,12.28,6:49,302,3,2,6.5,302-1,3
PA,spring,june,6/15/2021,2.31,12.28,6:49,302,3,2,6.5,302-2,0
PA,spring,june,6/15/2021,2.31,12.28,6:49,302,3,2,10.5,302-3,4
PA,spring,june,6/15/2021,2.31,12.28,6:49,302,3,2,10.5,302-4,6
PA,spring,june,6/15/2021,2.31,12.28,6:52,303,3,3,6.5,303-1,5
PA,spring,june,6/15/2021,2.31,12.28,6:52,303,3,3,6.5,303-2,3
PA,spring,june,6/15/2021,2.31,12.28,6:52,303,3,3,10.5,303-3,4
PA,spring,june,6/15/2021,2.31,12.28,6:52,303,3,3,10.5,303-4,3
PA,spring,june,6/15/2021,2.31,12.28,6:56,304,3,1,6.5,304-1,2
PA,spring,june,6/15/2021,2.31,12.28,6:56,304,3,1,6.5,304-2,1
PA,spring,june,6/15/2021,2.31,12.28,6:56,304,3,1,10.5,304-3,1
PA,spring,june,6/15/2021,2.31,12.28,6:56,304,3,1,10.5,304-4,2
PA,spring,june,6/15/2021,2.31,12.28,6:57,401,4,1,6.5,401-1,0
PA,spring,june,6/15/2021,2.31,12.28,6:57,401,4,1,6.5,401-2,1
PA,spring,june,6/15/2021,2.31,12.28,6:57,401,4,1,10.5,401-3,7
PA,spring,june,6/15/2021,2.31,12.28,6:57,401,4,1,10.5,401-4,1
PA,spring,june,6/15/2021,2.31,12.28,6:54,402,4,3,6.5,402-1,3
PA,spring,june,6/15/2021,2.31,12.28,6:54,402,4,3,6.5,402-2,11
PA,spring,june,6/15/2021,2.31,12.28,6:54,402,4,3,10.5,402-3,3
PA,spring,june,6/15/2021,2.31,12.28,6:54,402,4,3,10.5,402-4,3
PA,spring,june,6/15/2021,2.31,12.28,6:51,403,4,2,6.5,403-1,1
PA,spring,june,6/15/2021,2.31,12.28,6:51,403,4,2,6.5,403-2,3
PA,spring,june,6/15/2021,2.31,12.28,6:51,403,4,2,10.5,403-3,1
PA,spring,june,6/15/2021,2.31,12.28,6:51,403,4,2,10.5,403-4,15
PA,spring,june,6/15/2021,2.31,12.28,6:48,404,4,4,6.5,404-1,1
PA,spring,june,6/15/2021,2.31,12.28,6:48,404,4,4,6.5,404-2,3
PA,spring,june,6/15/2021,2.31,12.28,6:48,404,4,4,10.5,404-3,3
PA,spring,june,6/15/2021,2.31,12.28,6:48,404,4,4,10.5,404-4,1
PA,spring,june,6/15/2021,2.31,12.28,6:52,501,5,2,6.5,501-1,0
PA,spring,june,6/15/2021,2.31,12.28,6:52,501,5,2,6.5,501-2,1
PA,spring,june,6/15/2021,2.31,12.28,6:52,501,5,2,10.5,501-3,3
PA,spring,june,6/15/2021,2.31,12.28,6:52,501,5,2,10.5,501-4,6
PA,spring,june,6/15/2021,2.31,12.28,6:56,502,5,3,6.5,502-1,0
PA,spring,june,6/15/2021,2.31,12.28,6:56,502,5,3,6.5,502-2,2
PA,spring,june,6/15/2021,2.31,12.28,6:56,502,5,3,10.5,502-3,8
PA,spring,june,6/15/2021,2.31,12.28,6:56,502,5,3,10.5,502-4,0
PA,spring,june,6/15/2021,2.31,12.28,7:01,503,5,1,6.5,503-1,1
PA,spring,june,6/15/2021,2.31,12.28,7:01,503,5,1,6.5,503-2,4
PA,spring,june,6/15/2021,2.31,12.28,7:01,503,5,1,10.5,503-3,5
PA,spring,june,6/15/2021,2.31,12.28,7:01,503,5,1,10.5,503-4,0
PA,spring,june,6/15/2021,2.31,12.28,7:01,504,5,4,6.5,504-1,2
PA,spring,june,6/15/2021,2.31,12.28,7:01,504,5,4,6.5,504-2,7
PA,spring,june,6/15/2021,2.31,12.28,7:01,504,5,4,10.5,504-3,9
PA,spring,june,6/15/2021,2.31,12.28,7:01,504,5,4,10.5,504-4,5
PA,spring,june,6/23/2021,0.39,5.28,6:46,101,1,1,6.5,101-1,1
PA,spring,june,6/23/2021,0.39,5.28,6:46,101,1,1,6.5,101-2,1
PA,spring,june,6/23/2021,0.39,5.28,6:46,101,1,1,10.5,101-3,1
PA,spring,june,6/23/2021,0.39,5.28,6:46,101,1,1,10.5,101-4,1
PA,spring,june,6/23/2021,0.39,5.28,6:50,102,1,3,6.5,102-1,1
PA,spring,june,6/23/2021,0.39,5.28,6:50,102,1,3,6.5,102-2,0
PA,spring,june,6/23/2021,0.39,5.28,6:50,102,1,3,10.5,102-3,0
